region,date,value
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2015-12-31,64316
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2007-12-31,23816
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2005-12-31,17873
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2011-12-31,47436
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2017-12-31,84971
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2006-12-31,17864
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2002-12-31,12345
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2001-12-31,9293
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2019-12-31,107202
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2020-12-31,112319
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2006-12-31,10790
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2011-12-31,26973
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2017-12-31,42683
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2005-12-31,8206
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2013-12-31,33807
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2002-12-31,4586
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2015-12-31,35830
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2007-12-31,14308
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2008-12-31,20319
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2003-12-31,5288
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2010-12-31,23280
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2012-12-31,31599
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2000-12-31,3049
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2001-12-31,3713
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2004-12-31,6433
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2014-12-31,34688
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2016-12-31,43103
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2009-12-31,21237
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2008-12-31,34866
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2015-12-31,66488
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2007-12-31,23455
